epoch,train_loss,train_recon_loss,train_kl_loss,train_dir_loss,valid_loss,valid_recon_loss,valid_kl_loss,l2_loss
0,2336.484375,2336.448974609375,0.0,0.0,,,,3.2971298694610596
1,1835.9072265625,1835.8260498046875,0.0,0.0,,,,3.2969553470611572
2,1803.2080078125,1803.060791015625,0.0,0.0,,,,3.297398567199707
3,1763.219482421875,1762.992919921875,0.0,0.0,,,,3.298797130584717
4,1687.181396484375,1686.8665771484375,0.0,0.0,,,,3.301457405090332
5,1659.1068115234375,1658.691650390625,0.0,0.0,,,,3.304765462875366
6,1610.12939453125,1609.6376953125,0.0,0.0,,,,3.30863618850708
7,1562.50537109375,1561.969970703125,0.0,0.0,,,,3.31325626373291
8,1544.50439453125,1543.6513671875,0.0,0.0,,,,3.3179683685302734
9,1559.342529296875,1558.442138671875,0.0,0.0,,,,3.322209358215332
10,1522.7197265625,1521.615966796875,0.0,0.0,,,,3.3256683349609375
11,1498.4423828125,1497.189453125,0.0,0.0,,,,3.327674627304077
12,1496.61865234375,1495.099609375,0.0,0.0,,,,3.3292369842529297
13,1462.8154296875,1461.5277099609375,0.0,0.0,,,,3.3311400413513184
14,1433.65673828125,1432.172119140625,0.0,0.0,,,,3.3336572647094727
15,1439.44580078125,1437.5882568359375,0.0,0.0,,,,3.3364572525024414
16,1393.9501953125,1391.93896484375,0.0,0.0,,,,3.3396918773651123
17,1345.579345703125,1343.7303466796875,0.0,0.0,,,,3.3413913249969482
18,1342.056884765625,1340.22216796875,0.0,0.0,,,,3.342989206314087
19,1301.190185546875,1299.443359375,0.0,0.0,,,,3.3444550037384033
20,1245.526123046875,1243.740966796875,0.0,0.0,,,,3.3464293479919434
21,1305.93408203125,1303.930908203125,0.0,0.0,,,,3.3485119342803955
22,1246.851806640625,1244.612060546875,0.0,0.0,,,,3.351487159729004
23,1248.0062255859375,1245.8240966796875,0.0,0.0,,,,3.3542096614837646
24,1243.690673828125,1241.4739990234375,0.0,0.0,,,,3.356052875518799
25,1252.4173583984375,1249.948974609375,0.0,0.0,,,,3.3587443828582764
26,1264.735595703125,1262.23486328125,0.0,0.0,,,,3.36138916015625
27,1214.9793701171875,1212.2376708984375,0.0,0.0,,,,3.363759994506836
28,1235.4359130859375,1232.866943359375,0.0,0.0,,,,3.3674519062042236
29,1213.294189453125,1210.58837890625,0.0,0.0,,,,3.3709633350372314
30,1211.700927734375,1208.916015625,0.0,0.0,,,,3.3739013671875
31,1183.96728515625,1181.2353515625,0.0,0.0,,,,3.3771562576293945
32,1172.2548828125,1169.52392578125,0.0,0.0,,,,3.383017063140869
33,1208.4404296875,1205.502685546875,0.0,0.0,,,,3.388415575027466
34,1185.1966552734375,1182.1917724609375,0.0,0.0,,,,3.392279624938965
35,1191.5341796875,1188.536865234375,0.0,0.0,,,,3.3957793712615967
36,1161.851318359375,1158.806884765625,0.0,0.0,,,,3.3989241123199463
37,1173.665771484375,1170.511962890625,0.0,0.0,,,,3.400224447250366
38,1149.507568359375,1146.5823974609375,0.0,0.0,,,,3.4028921127319336
39,1185.9537353515625,1182.7420654296875,0.0,0.0,,,,3.4049181938171387
40,1178.6346435546875,1175.5267333984375,0.0,0.0,,,,3.4069974422454834
41,1125.783203125,1122.64599609375,0.0,0.0,,,,3.4089062213897705
42,1137.8497314453125,1134.6014404296875,0.0,0.0,,,,3.411764621734619
43,1117.680908203125,1114.375,0.0,0.0,,,,3.414426565170288
44,1126.70751953125,1123.329833984375,0.0,0.0,,,,3.416773557662964
45,1115.3857421875,1111.943603515625,0.0,0.0,,,,3.419092893600464
46,1101.678955078125,1098.404541015625,0.0,0.0,,,,3.4215755462646484
47,1131.765625,1128.25634765625,0.0,0.0,,,,3.4239089488983154
48,1114.9168701171875,1111.390380859375,0.0,0.0,,,,3.426765203475952
49,1112.554931640625,1109.003662109375,0.0,0.0,,,,3.4284000396728516
50,1131.66796875,1128.137939453125,0.0,0.0,,,,3.430777072906494
51,1133.1759033203125,1129.5107421875,0.0,0.0,,,,3.432143211364746
52,1076.7039794921875,1072.9932861328125,0.0,0.0,,,,3.4330644607543945
53,1095.1123046875,1091.243896484375,0.0,0.0,,,,3.4349019527435303
54,1121.367431640625,1117.454345703125,0.0,0.0,,,,3.4374945163726807
55,1116.7919921875,1112.859375,0.0,0.0,,,,3.4403088092803955
56,1100.4803466796875,1096.535888671875,0.0,0.0,,,,3.443641424179077
57,1099.859375,1095.936279296875,0.0,0.0,,,,3.446484327316284
58,1084.0130615234375,1079.9466552734375,0.0,0.0,,,,3.4491994380950928
59,1109.52197265625,1105.42529296875,0.0,0.0,,,,3.4519991874694824
60,1075.63037109375,1071.511474609375,0.0,0.0,,,,3.454188346862793
61,1097.587646484375,1093.54833984375,0.0,0.0,,,,3.45680832862854
62,1070.5911865234375,1066.3885498046875,0.0,0.0,,,,3.458416223526001
63,1079.027099609375,1074.7216796875,0.0,0.0,,,,3.461007595062256
64,1052.222900390625,1047.9730224609375,0.0,0.0,,,,3.4634029865264893
65,1082.6207275390625,1078.35205078125,0.0,0.0,,,,3.4660236835479736
66,1071.1585693359375,1066.74462890625,0.0,0.0,,,,3.4673659801483154
67,1040.667236328125,1036.1165771484375,0.0,0.0,,,,3.4691836833953857
68,1089.9412841796875,1085.3607177734375,0.0,0.0,,,,3.4713327884674072
69,1061.4271240234375,1056.8095703125,0.0,0.0,,,,3.4726483821868896
70,1064.33935546875,1059.6728515625,0.0,0.0,,,,3.4741837978363037
71,1054.5501708984375,1049.8109130859375,0.0,0.0,,,,3.4751689434051514
72,1081.96484375,1077.252685546875,0.0,0.0,,,,3.47689151763916
73,1071.50537109375,1066.7098388671875,0.0,0.0,,,,3.478532075881958
74,1075.2255859375,1070.357421875,0.0,0.0,,,,3.4798927307128906
75,1088.3314208984375,1083.4095458984375,0.0,0.0,,,,3.4816536903381348
76,1072.9100341796875,1067.9908447265625,0.0,0.0,,,,3.482269763946533
77,1071.614013671875,1066.4056396484375,0.0,0.0,,,,3.482945203781128
78,1048.8284912109375,1043.600830078125,0.0,0.0,,,,3.4840173721313477
79,1034.7437744140625,1029.404541015625,0.0,0.0,,,,3.484727144241333
80,1072.9251708984375,1067.6319580078125,0.0,0.0,,,,3.485657215118408
81,1077.5550537109375,1072.19677734375,0.0,0.0,,,,3.4869112968444824
82,1082.828369140625,1077.511474609375,0.0,0.0,,,,3.4879705905914307
83,1037.907470703125,1032.5203857421875,0.0,0.0,,,,3.488353967666626
84,1034.182373046875,1028.723388671875,0.0,0.0,,,,3.4887166023254395
85,1045.348876953125,1039.8585205078125,0.0,0.0,,,,3.4887917041778564
86,1053.43896484375,1048.0302734375,0.0,0.0,,,,3.48891544342041
87,1045.4443359375,1039.94287109375,0.0,0.0,,,,3.48927903175354
88,1074.70361328125,1069.1204833984375,0.0,0.0,,,,3.4896464347839355
